Pregunta,Codigo,Descripcion
MBP20a,1,Muy bien
MBP20a,2,Bien
MBP20a,3,Regular
MBP20a,4,Mal
MBP20a,5,Muy mal
MBP20a,-9,No sabe (no leer)
MBP20a,-8,No contesta (no leer)
