Pregunta,Codigo,Descripcion
MBP20b,1,Muy bien
MBP20b,2,Bien
MBP20b,3,Regular
MBP20b,4,Mal
MBP20b,5,Muy mal
MBP20b,-9,No sabe (no leer)
MBP20b,-8,No contesta (no leer)
