Pregunta,Codigo,Descripcion
MBP20h,1,Muy bien
MBP20h,2,Bien
MBP20h,3,Regular
MBP20h,4,Mal
MBP20h,5,Muy mal
MBP20h,-9,No sabe (no leer)
MBP20h,-8,No contesta (no leer)
