Pregunta,Codigo,Descripcion
MBP20e,1,Muy bien
MBP20e,2,Bien
MBP20e,3,Regular
MBP20e,4,Mal
MBP20e,5,Muy mal
MBP20e,-9,No sabe (no leer)
MBP20e,-8,No contesta (no leer)
