Pregunta,Codigo,Descripcion
MBP20d,1,Muy bien
MBP20d,2,Bien
MBP20d,3,Regular
MBP20d,4,Mal
MBP20d,5,Muy mal
MBP20d,-9,No sabe (no leer)
MBP20d,-8,No contesta (no leer)
