Pregunta,Codigo,Descripcion
MBP20c,1,Muy bien
MBP20c,2,Bien
MBP20c,3,Regular
MBP20c,4,Mal
MBP20c,5,Muy mal
MBP20c,-9,No sabe (no leer)
MBP20c,-8,No contesta (no leer)
