Pregunta,Codigo,Descripcion
MBP20j,1,Muy bien
MBP20j,2,Bien
MBP20j,3,Regular
MBP20j,4,Mal
MBP20j,5,Muy mal
MBP20j,-9,No sabe (no leer)
MBP20j,-8,No contesta (no leer)
