Pregunta,Codigo,Descripcion
MBP20g,1,Muy bien
MBP20g,2,Bien
MBP20g,3,Regular
MBP20g,4,Mal
MBP20g,5,Muy mal
MBP20g,-9,No sabe (no leer)
MBP20g,-8,No contesta (no leer)
