Pregunta,Codigo,Descripcion
pp_congreso_61_b,1,"Privilegien los acuerdos, aunque tengan que ceder sus posiciones"
pp_congreso_61_b,2,"Defiendan sus posiciones, aunque eso implique no llegar a acuerdos"
pp_congreso_61_b,-8,No sabe
pp_congreso_61_b,-9,No contesta
