Pregunta,Codigo,Descripcion
democracia_21,1,La democracia siempre es preferible
democracia_21,2,A veces un régimen autoritario puede ser preferible
democracia_21,3,Da lo mismo un régimen democrático que uno autoritario
democracia_21,-8,No sabe (no leer)
democracia_21,-9,No contesta (no leer)
