Id_Encuesta,eval_gob_1,eval_act_pol_1_p,eval_act_pol_1_fh,eval_act_pol_1_dv,eval_act_pol_1_co,eval_act_pol_1_ca,eval_act_pol_1_ae,eval_act_pol_1_er,eval_act_pol_1_gt,eval_act_pol_17,eval_act_pol_18,pp_congreso_61_b
68,2,5.0,,,,2.0,,,,,,
69,1,3.0,,,,4.0,,,,,,
70,3,2.0,,,,4.0,,,,,,
71,3,4.0,,,,2.0,,,,,,
72,3,4.0,,,,3.0,,,,,,
73,1,1.0,,,,5.0,,,,,,
74,1,2.0,,,,4.0,,,,,,
75,1,5.0,,,,4.0,,,,,,
76,1,4.0,,,,5.0,,,,,,
77,1,4.0,,,,5.0,,,,,,
78,3,3.0,,,,3.0,,,,,,
79,3,3.0,,,,4.0,,,,,,
80,2,1.0,,,,3.0,,,,,,
81,3,4.0,,,,3.0,,,,,,
82,3,4.0,,,,3.0,,,,,,
83,2,4.0,,,,4.0,,,,,,
84,2,4.0,,,,2.0,,,,,,
85,3,3.0,,,,3.0,,,,,,
86,2,1.0,,,,3.0,,,,,,
87,2,3.0,,,,3.0,,,,,,
88,3,3.0,,,,3.0,,,,,,
89,3,3.0,,,,3.0,,,,,,
90,1,3.0,,,,4.0,,,,,,
91,2,4.0,,,,3.0,,,,,,
92,1,4.0,,,,4.0,,,,,,
93,1,3.0,,,,4.0,,,,,,
94,3,2.0,,,,3.0,,,,,,
95,1,4.0,,,,4.0,,,,,,
96,2,4.0,,,,2.0,,,,,,
97,3,4.0,,,,4.0,,,,,,
98,2,3.0,,,,3.0,,,,,,
99,1,4.0,,,,4.0,,,,,,
100,2,3.0,,,,3.0,,,,,,
101,2,4.0,,,,3.0,,,,,,
102,2,4.0,,,,2.0,,,,,,
103,2,2.0,,,,4.0,,,,,,
104,1,3.0,,,,4.0,,,,,,
105,2,4.0,,,,2.0,,,,,,
106,2,4.0,,,,3.0,,,,,,
107,9,3.0,,,,3.0,,,,,,
108,3,4.0,,,,3.0,,,,,,
109,1,3.0,,,,4.0,,,,,,
110,3,3.0,,,,3.0,,,,,,
111,3,3.0,,,,3.0,,,,,,
112,3,3.0,,,,3.0,,,,,,
113,9,3.0,,,,3.0,,,,,,
115,3,3.0,,,,4.0,,,,,,
116,1,4.0,,,,4.0,,,,,,
117,9,4.0,,,,4.0,,,,,,
118,3,3.0,,,,4.0,,,,,,
119,1,2.0,,,,5.0,,,,,,
120,1,3.0,,,,4.0,,,,,,
121,2,3.0,,,,9.0,,,,,,
122,1,3.0,,,,4.0,,,,,,
123,3,3.0,,,,3.0,,,,,,
124,3,3.0,,,,3.0,,,,,,
125,3,3.0,,,,4.0,,,,,,
126,3,3.0,,,,3.0,,,,,,
127,3,3.0,,,,3.0,,,,,,
128,2,4.0,,,,4.0,,,,,,
130,1,2.0,,,,4.0,,,,,,
133,1,3.0,,,,5.0,,,,,,
134,1,2.0,,,,5.0,,,,,,
135,3,3.0,,,,3.0,,,,,,
136,1,2.0,,,,5.0,,,,,,
137,3,3.0,,,,3.0,,,,,,
138,1,3.0,,,,5.0,,,,,,
139,1,3.0,,,,4.0,,,,,,
140,1,3.0,,,,5.0,,,,,,
141,8,3.0,,,,3.0,,,,,,
142,3,3.0,,,,4.0,,,,,,
143,2,4.0,,,,4.0,,,,,,
144,1,3.0,,,,5.0,,,,,,
145,1,2.0,,,,4.0,,,,,,
146,3,1.0,,,,2.0,,,,,,
147,2,3.0,,,,3.0,,,,,,
148,3,3.0,,,,3.0,,,,,,
149,2,4.0,,,,2.0,,,,,,
150,3,3.0,,,,4.0,,,,,,
152,2,3.0,,,,3.0,,,,,,
154,1,1.0,,,,5.0,,,,,,
155,1,2.0,,,,5.0,,,,,,
156,1,3.0,,,,5.0,,,,,,
157,1,2.0,,,,5.0,,,,,,
158,1,2.0,,,,4.0,,,,,,
159,1,2.0,,,,5.0,,,,,,
160,3,3.0,,,,3.0,,,,,,
162,2,3.0,,,,3.0,,,,,,
164,2,2.0,,,,6.0,,,,,,
166,1,2.0,,,,4.0,,,,,,
167,1,1.0,,,,5.0,,,,,,
168,3,1.0,,,,3.0,,,,,,
169,2,9.0,,,,9.0,,,,,,
170,1,1.0,,,,6.0,,,,,,
172,3,3.0,,,,3.0,,,,,,
174,2,9.0,,,,9.0,,,,,,
175,1,4.0,,,,5.0,,,,,,
176,1,9.0,,,,9.0,,,,,,
177,1,2.0,,,,4.0,,,,,,
178,1,4.0,,,,4.0,,,,,,
179,1,2.0,,,,4.0,,,,,,
180,1,3.0,,,,4.0,,,,,,
181,1,3.0,,,,4.0,,,,,,
182,1,4.0,,,,4.0,,,,,,
183,3,3.0,,,,3.0,,,,,,
185,2,3.0,,,,1.0,,,,,,
186,1,3.0,,,,5.0,,,,,,
187,1,8.0,,,,4.0,,,,,,
188,1,3.0,,,,4.0,,,,,,
189,8,9.0,,,,3.0,,,,,,
191,1,3.0,,,,3.0,,,,,,
192,2,9.0,,,,9.0,,,,,,
193,1,4.0,,,,4.0,,,,,,
194,3,3.0,,,,4.0,,,,,,
195,3,4.0,,,,4.0,,,,,,
196,2,4.0,,,,5.0,,,,,,
197,3,4.0,,,,4.0,,,,,,
198,2,9.0,,,,9.0,,,,,,
199,1,3.0,,,,5.0,,,,,,
200,1,3.0,,,,3.0,,,,,,
201,3,4.0,,,,5.0,,,,,,
203,1,2.0,,,,5.0,,,,,,
206,1,2.0,,,,4.0,,,,,,
207,1,2.0,,,,4.0,,,,,,
208,1,2.0,,,,5.0,,,,,,
209,1,3.0,,,,4.0,,,,,,
210,1,3.0,,,,4.0,,,,,,
211,1,1.0,,,,4.0,,,,,,
212,3,2.0,,,,2.0,,,,,,
213,1,3.0,,,,3.0,,,,,,
215,1,1.0,,,,1.0,,,,,,
216,1,1.0,,,,5.0,,,,,,
217,2,4.0,,,,3.0,,,,,,
218,3,3.0,,,,4.0,,,,,,
219,1,3.0,,,,4.0,,,,,,
220,1,2.0,,,,5.0,,,,,,
221,2,3.0,,,,3.0,,,,,,
222,3,3.0,,,,3.0,,,,,,
223,2,4.0,,,,2.0,,,,,,
224,1,3.0,,,,4.0,,,,,,
225,1,1.0,,,,5.0,,,,,,
226,3,3.0,,,,4.0,,,,,,
227,1,3.0,,,,5.0,,,,,,
230,1,2.0,,,,4.0,,,,,,
231,1,3.0,,,,4.0,,,,,,
233,2,4.0,,,,3.0,,,,,,
235,2,3.0,,,,3.0,,,,,,
236,1,3.0,,,,4.0,,,,,,
237,1,4.0,,,,4.0,,,,,,
238,2,5.0,,,,1.0,,,,,,
239,1,1.0,,,,5.0,,,,,,
241,2,3.0,,,,3.0,,,,,,
