Pregunta,Codigo,Descripcion
percepcion_4,1,Progresando
percepcion_4,2,Estancado
percepcion_4,3,En decadencia
percepcion_4,-8,No sabe (no leer)
percepcion_4,-9,No contesta (no leer)
